Datetime;Open;High;Low;Close;Adj Close;Volume;Variacao
2020-09-23T15:03:00Z; 96660,49; 96665,56; 96660,49; 96665,56; 96665,56;0;-4,944640e-05
2020-09-23T15:04:00Z; 96654,52; 96676,11; 96654,52; 96676,11; 96676,11;0; 1,091392e-04
2020-09-23T15:05:00Z; 96668,88; 96676,08; 96668,88; 96676,08; 96676,08;0;-3,103145e-07
2020-09-23T15:06:00Z; 96657,12; 96673,40; 96657,12; 96673,40; 96673,40;0;-2,772144e-05
2020-09-23T15:07:00Z; 96633,08; 96657,14; 96633,08; 96657,14; 96657,14;0;-1,681952e-04
2020-09-23T15:08:00Z; 96638,98; 96698,93; 96638,98; 96698,93; 96698,93;0; 4,323530e-04
2020-09-23T15:09:00Z; 96691,87; 96691,87; 96664,82; 96664,82; 96664,82;0;-3,527443e-04
2020-09-23T15:10:00Z; 96680,03; 96680,03; 96671,46; 96671,46; 96671,46;0; 6,869097e-05
2020-09-23T15:11:00Z; 96698,81; 96698,81; 96676,45; 96676,45; 96676,45;0; 5,161813e-05
2020-09-23T15:12:00Z; 96605,69; 96605,69; 96575,35; 96575,35; 96575,35;0;-1,045756e-03
2020-09-23T15:15:00Z; 96607,84; 96607,84; 96593,73; 96593,73; 96593,73;0; 1,903177e-04
2020-09-23T15:16:00Z; 96603,71; 96643,94; 96603,71; 96643,94; 96643,94;0; 5,198060e-04
2020-09-23T15:17:00Z; 96630,39; 96635,81; 96630,39; 96635,81; 96635,81;0;-8,412323e-05
2020-09-23T15:18:00Z; 96627,77; 96647,30; 96627,77; 96647,30; 96647,30;0; 1,189000e-04
2020-09-23T15:19:00Z; 96557,17; 96562,16; 96557,17; 96562,16; 96562,16;0;-8,809351e-04
2020-09-23T15:20:00Z; 96592,06; 96596,95; 96592,06; 96596,95; 96596,95;0; 3,602861e-04
2020-09-23T15:21:00Z; 96551,05; 96551,05; 96540,32; 96540,32; 96540,32;0;-5,862504e-04
2020-09-23T15:22:00Z; 96586,75; 96591,74; 96586,75; 96591,74; 96591,74;0; 5,326272e-04
2020-09-23T15:23:00Z; 96608,92; 96634,66; 96608,92; 96634,66; 96634,66;0; 4,443444e-04
2020-09-23T15:24:00Z; 96635,57; 96649,15; 96635,57; 96649,15; 96649,15;0; 1,499462e-04
2020-09-23T15:25:00Z; 96700,66; 96700,66; 96694,08; 96694,08; 96694,08;0; 4,648773e-04
2020-09-23T15:26:00Z; 96703,89; 96736,47; 96703,89; 96736,47; 96736,47;0; 4,383929e-04
2020-09-23T15:27:00Z; 96721,42; 96721,42; 96678,12; 96678,12; 96678,12;0;-6,031851e-04
2020-09-23T15:28:00Z; 96680,04; 96680,04; 96632,76; 96632,76; 96632,76;0;-4,691858e-04
2020-09-23T15:29:00Z; 96594,42; 96594,42; 96571,42; 96571,42; 96571,42;0;-6,347744e-04
2020-09-23T15:30:00Z; 96548,51; 96548,51; 96523,69; 96523,69; 96523,69;0;-4,942456e-04
2020-09-23T15:31:00Z; 96492,00; 96492,00; 96386,04; 96386,04; 96386,04;0;-1,426075e-03
2020-09-23T15:32:00Z; 96357,02; 96357,02; 96254,96; 96254,96; 96254,96;0;-1,359948e-03
2020-09-23T15:33:00Z; 96251,35; 96251,35; 96214,32; 96214,32; 96214,32;0;-4,222120e-04
